responsable,ocupaciones ONET,Código CIUO
Richard,Technical Writers,2641
Richard,Telecommunications Engineering Specialists,2153
Richard,"Telecommunications Equipment Installers and Repairers, Except Line Installers",7422
Richard,Telecommunications Line Installers and Repairers,7422
Richard,Telemarketers,5244
Richard,Telephone Operators,4223
Richard,Tellers,4211
Richard,Terrazzo Workers and Finishers,7114
Richard,Textile Bleaching and Dyeing Machine Operators and Tenders,8154
Richard,"Textile Cutting Machine Setters, Operators, and Tenders",8159
Richard,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",8152
Richard,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",8151
Richard,Tile and Stone Setters,7122
Richard,Timing Device Assemblers and Adjusters,8212
Richard,Tire Builders,8141
Richard,Tire Repairers and Changers,9629
Richard,"Title Examiners, Abstractors, and Searchers",3411
Richard,Tool and Die Makers,7222
Richard,"Tool Grinders, Filers, and Sharpeners",7224
Richard,Tour Guides and Escorts,5113
Richard,Traffic Technicians,2164
Richard,Training and Development Managers,1345
Richard,Training and Development Specialists,2424
Richard,Transit and Railroad Police,5412
Richard,Transportation Engineers,2164
Richard,Transportation Inspectors,4323
Richard,Transportation Planners,2164
Richard,Transportation Security Screeners,5412
Richard,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",3257
Richard,"Transportation, Storage, and Distribution Managers",1324
Richard,Travel Agents,4221
Richard,Travel Guides,5113
Richard,Treasurers and Controllers,1211
Richard,Tree Trimmers and Pruners,6210
Richard,Tutors,2359
Richard,"Umpires, Referees, and Other Sports Officials",3422
Richard,Upholsterers,7534
Richard,Urban and Regional Planners,2164
Richard,Urologists,2212
Richard,"Ushers, Lobby Attendants, and Ticket Takers",9629
Richard,Validation Engineers,2151
Richard,Veterinarians,2250
Richard,Veterinary Assistants and Laboratory Animal Caretakers,3240
Richard,Veterinary Technologists and Technicians,3240
Richard,Video Game Designers,2512
Richard,Waiters and Waitresses,5131
Richard,Watch and Clock Repairers,7311
Richard,Water and Wastewater Treatment Plant and System Operators,3132
Richard,Water Resource Specialists,2114
Richard,Water/Wastewater Engineers,2143
Richard,Weatherization Installers and Technicians,7124
Richard,Web Administrators,3514
Richard,Web and Digital Interface Designers,2166
Richard,Web Developers,2513
Richard,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",4321
Richard,"Welders, Cutters, Solderers, and Brazers",7212
Richard,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",7212
Richard,Wellhead Pumpers,8113
Richard,"Wholesale and Retail Buyers, Except Farm Products",3323
Richard,Wind Energy Development Managers,1321
Richard,Wind Energy Engineers,2114
Richard,Wind Energy Operations Managers,1321
Richard,Wind Turbine Service Technicians,7233
Richard,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",7523
Richard,Word Processors and Typists,4131
Richard,Writers and Authors,2641
Richard,Zoologists and Wildlife Biologists,2131
